Datetime,Vessel,SPEED THROUGH WATER,SPEED OVER GROUND KNOTS,SHAFT POWER,SHAFT SPEED,SHAFT TORQUE,TRUE WIND SPEED,TRUE WIND DIRECTION,HEADING TRUE,COURSE OVER GROUND TRUE,DRAFT FWD LEVEL,DRAFT AFT LEVEL,DRAFT MIDSHIP PORT LEVEL,DRAFT MIDSHIP STBD LEVEL,Latitude,Longitude,Date,Condition,From,To,Trim,Displacement,Draft_For,Draft_Aft,wave_height,wave_peak_period,wave_period,wave_direction,ocean_current_velocity,ocean_current_direction,weather_source_datetime,weather_source_latitude,weather_source_longitude,wave_height_source_model,wave_peak_period_source_model,wave_period_source_model,wave_direction_source_model,ocean_current_velocity_source_model,ocean_current_direction_source_model
2024-09-10 11:00:00+00:00,Heide,12.583620689655174,13.402191666666669,9291.55,58.54298245614035,1516.1416666666669,16.239083171478907,6.284831448780494,146.0726503833008,146.77478991596638,15.791439655172413,16.862975000000002,17.15415254237288,16.645316239316237,66.03211836111112,-57.54809179166667,2024-09-10 00:00:00+00:00,laden,,,0.009999999999998,205255.6,16.1,16.11,1.2999999523162842,6.25,5.349999904632568,20.0,0.25495097041130066,168.6900634765625,2024-09-10 11:00:00+00:00,66.03211836111112,-57.54809179166667,ncep_gfswave025,ncep_gfswave025,ncep_gfswave025,ncep_gfswave025,ncep_gfswave016,ncep_gfswave016
2024-09-10 12:00:00+00:00,Heide,12.503706896551726,13.318306306306308,9291.85,58.55966386554624,1515.6302521008404,15.599617966943866,14.350089989783385,147.2775158186903,146.89416666666662,15.79034188034188,16.8779,17.137336206896553,16.6349243697479,65.84605606944444,-57.25118948611112,2024-09-10 00:00:00+00:00,laden,,,0.009999999999998,205255.6,16.1,16.11,1.2400000095367432,6.199999809265137,5.25,19.0,0.25495097041130066,191.3098907470703,2024-09-10 12:00:00+00:00,65.84605606944444,-57.25118948611112,ncep_gfswave025,ncep_gfswave025,ncep_gfswave025,ncep_gfswave025,ncep_gfswave016,ncep_gfswave016
2024-09-10 13:00:00+00:00,Heide,12.557118644067796,12.842628318584072,9272.935483870968,58.56465517241381,1512.2833333333333,13.201934099956494,27.03442991212961,147.2383223313367,145.5898305084746,15.784179487179486,16.869822033898306,17.136956521739126,16.637094827586207,65.66423270833334,-56.96352409722223,2024-09-10 00:00:00+00:00,laden,,,0.009999999999998,205255.6,16.1,16.11,1.100000023841858,6.300000190734863,5.650000095367432,12.0,0.11180340498685837,243.4350128173828,2024-09-10 13:00:00+00:00,65.66423270833334,-56.96352409722223,ncep_gfswave025,ncep_gfswave025,ncep_gfswave025,ncep_gfswave025,ncep_gfswave016,ncep_gfswave016
2024-09-10 14:00:00+00:00,Heide,12.5245,12.391238532110092,9277.55,58.55862068965519,1512.2931034482758,9.80086691364459,33.71626081030172,148.33258666072732,145.675,15.781361344537814,16.869672268907564,17.145398305084743,16.641915966386552,65.49110820833333,-56.68168072222223,2024-09-10 00:00:00+00:00,laden,,,0.009999999999998,205255.6,16.1,16.11,1.0,6.25,5.599999904632568,9.0,0.11180340498685837,296.56500244140625,2024-09-10 14:00:00+00:00,65.49110820833333,-56.68168072222223,ncep_gfswave025,ncep_gfswave025,ncep_gfswave025,ncep_gfswave025,ncep_gfswave016,ncep_gfswave016
2024-09-10 15:00:00+00:00,Heide,12.564,12.563091666666669,9303.852459016394,58.57058823529414,1517.7196261682243,7.43729261864976,41.149684389758136,146.00359961926483,143.327027027027,15.771883333333331,16.870398230088497,17.1524224137931,16.630141666666667,65.3226028888889,-56.392750972222224,2024-09-10 00:00:00+00:00,laden,,,0.009999999999998,205255.6,16.1,16.11,0.9800000190734863,6.199999809265137,5.449999809265137,9.0,0.05000000074505806,0.0,2024-09-10 15:00:00+00:00,65.3226028888889,-56.392750972222224,ncep_gfswave025,ncep_gfswave025,ncep_gfswave025,ncep_gfswave025,ncep_gfswave016,ncep_gfswave016
2024-09-10 16:00:00+00:00,Heide,12.520973451327432,12.114,9274.67213114754,58.54705882352944,1511.313725490196,9.435902882617524,16.179795043545766,151.05763273043306,147.52916666666667,15.755933333333331,16.868672268907563,17.133816666666668,16.629666666666665,65.1526504861111,-56.11854668055556,2024-09-10 00:00:00+00:00,laden,,,0.009999999999998,205255.6,16.1,16.11,1.0,6.300000190734863,5.800000190734863,9.0,0.22360680997371674,26.56500244140625,2024-09-10 16:00:00+00:00,65.1526504861111,-56.11854668055556,ncep_gfswave025,ncep_gfswave025,ncep_gfswave025,ncep_gfswave025,ncep_gfswave016,ncep_gfswave016
2024-09-10 17:00:00+00:00,Heide,12.53225,12.11315,9270.803278688523,58.55862068965518,1511.728813559322,4.738756836919909,8.50491323018025,149.07666833643412,147.25333333333336,15.7441,16.867504201680674,17.13161344537815,16.634225,64.98425284722222,-55.86179848611111,2024-09-10 00:00:00+00:00,laden,,,0.009999999999998,205255.6,16.1,16.11,1.0,6.25,5.949999809265137,16.0,0.3354102075099945,333.43499755859375,2024-09-10 17:00:00+00:00,64.98425284722222,-55.86179848611111,ncep_gfswave025,ncep_gfswave025,ncep_gfswave025,ncep_gfswave025,ncep_gfswave016,ncep_gfswave016
2024-09-10 18:00:00+00:00,Heide,12.56975,12.433271186440678,9277.6,58.55762711864409,1513.5166666666669,3.675052982198789,8.788131629476311,149.0258626860916,148.57416666666668,15.726625000000002,16.876783333333332,17.1416974789916,16.629524999999997,64.8103275138889,-55.60946419444444,2024-09-10 00:00:00+00:00,laden,,,0.009999999999998,205255.6,16.1,16.11,0.9800000190734863,6.199999809265137,6.25,44.0,0.11180340498685837,333.43499755859375,2024-09-10 18:00:00+00:00,64.8103275138889,-55.60946419444444,ncep_gfswave025,ncep_gfswave025,ncep_gfswave025,ncep_gfswave025,ncep_gfswave016,ncep_gfswave016
2024-09-10 19:00:00+00:00,Heide,12.5790756302521,13.125009174311929,9315.8,58.56440677966104,1519.7833333333333,3.5626817497121643,28.643335948080505,149.0367525119467,146.3275,15.725833333333332,16.872815126050423,17.134116666666667,16.642725,64.63068483333333,-55.34506515277778,2024-09-10 00:00:00+00:00,laden,,,0.009999999999998,205255.6,16.1,16.11,1.2400000095367432,9.399999618530273,7.300000190734863,126.0,0.10000000149011612,180.0,2024-09-10 19:00:00+00:00,64.63068483333333,-55.34506515277778,ncep_gfswave025,ncep_gfswave025,ncep_gfswave025,ncep_gfswave025,ncep_gfswave016,ncep_gfswave016
2024-09-10 20:00:00+00:00,Heide,12.592999999999998,12.78005,9291.533333333333,58.54736842105264,1515.7142857142858,4.646043360392355,57.86356854745338,149.0042390345851,149.17750000000004,15.726216666666668,16.885330508474578,17.13713793103448,16.636361344537814,64.44723023611111,-55.07317630555556,2024-09-10 00:00:00+00:00,laden,,,0.009999999999998,205255.6,16.1,16.11,1.2999999523162842,9.75,7.75,143.0,0.18027757108211517,146.30990600585938,2024-09-10 20:00:00+00:00,64.44723023611111,-55.07317630555556,ncep_gfswave025,ncep_gfswave025,ncep_gfswave025,ncep_gfswave025,ncep_gfswave016,ncep_gfswave016
